;Year;Quarter;Haul;Age;Count
375;2015;1;2015:1:FRA:THA2:GOV:T0109:57;1;1
376;2015;1;2015:1:FRA:THA2:GOV:T0117:61;1;1
377;2015;1;2015:1:FRA:THA2:GOV:T0134:66;1;1
378;2015;1;2015:1:FRA:THA2:GOV:T0137:67;1;1
379;2015;1;2015:1:FRA:THA2:GOV:T0138:68;1;1
380;2015;1;2015:1:FRA:THA2:GOV:T0139:69;1;1
381;2015;1;2015:1:FRA:THA2:GOV:T0152:74;1;1
382;2015;1;2015:1:FRA:THA2:GOV:T0153:75;1;2
383;2015;1;2015:1:FRA:THA2:GOV:T0154:76;1;2
384;2015;1;2015:1:FRA:THA2:GOV:T0191:92;1;1
385;2015;1;2015:1:GFR:WAH3:GOV:113:29;1;1
386;2015;1;2015:1:GFR:WAH3:GOV:115:31;1;2
387;2015;1;2015:1:GFR:WAH3:GOV:125:33;1;3
388;2015;1;2015:1:GFR:WAH3:GOV:126:34;1;5
389;2015;1;2015:1:GFR:WAH3:GOV:139:39;1;1
390;2015;1;2015:1:GFR:WAH3:GOV:147:41;1;8
391;2015;1;2015:1:GFR:WAH3:GOV:148:42;1;3
392;2015;1;2015:1:GFR:WAH3:GOV:161:47;1;6
393;2015;1;2015:1:GFR:WAH3:GOV:179:51;1;1
394;2015;1;2015:1:GFR:WAH3:GOV:30:5;1;1
395;2015;1;2015:1:GFR:WAH3:GOV:39:6;1;1
396;2015;1;2015:1:NED:ENDN:GOV:35F038:38;1;2
397;2015;1;2015:1:NED:ENDN:GOV:36F413:13;1;1
398;2015;1;2015:1:NED:ENDN:GOV:36F606:6;1;2
399;2015;1;2015:1:NED:ENDN:GOV:40F036:36;1;1
400;2015;1;2015:1:NED:ENDN:GOV:40F324:24;1;1
401;2015;1;2015:1:NED:ENDN:GOV:41E728:28;1;6
402;2015;1;2015:1:NED:ENDN:GOV:41E827:27;1;6
403;2015;1;2015:1:NED:ENDN:GOV:41F035:35;1;2
404;2015;1;2015:1:NED:ENDN:GOV:41F226:26;1;1
405;2015;1;2015:1:NED:ENDN:GOV:41F325:25;1;2
406;2015;1;2015:1:NED:ENDN:GOV:42E729:29;1;1
407;2015;1;2015:1:NED:ENDN:GOV:42E830:30;1;61
408;2015;1;2015:1:NED:ENDN:GOV:42E932:32;1;3
409;2015;1;2015:1:NED:ENDN:GOV:43E933:33;1;5
410;2015;1;2015:1:NOR:58G2:GOV:60012:12;1;1
411;2015;1;2015:1:NOR:58G2:GOV:60016:16;1;1
412;2015;1;2015:1:NOR:58G2:GOV:60017:17;1;1
413;2015;1;2015:1:NOR:58G2:GOV:60019:19;1;9
414;2015;1;2015:1:NOR:58G2:GOV:60022:22;1;1
415;2015;1;2015:1:NOR:58G2:GOV:60029:29;1;1
416;2015;1;2015:1:NOR:58G2:GOV:60033:33;1;1
417;2015;1;2015:1:NOR:58G2:GOV:60038:38;1;2
418;2015;1;2015:1:NOR:58G2:GOV:60052:52;1;1
419;2015;1;2015:1:NOR:58G2:GOV:60075:75;1;1
420;2015;1;2015:1:SCO:SCO3:GOV:10:10;1;3
421;2015;1;2015:1:SCO:SCO3:GOV:11:11;1;2
422;2015;1;2015:1:SCO:SCO3:GOV:14:14;1;8
423;2015;1;2015:1:SCO:SCO3:GOV:15:15;1;1
424;2015;1;2015:1:SCO:SCO3:GOV:27:27;1;2
425;2015;1;2015:1:SCO:SCO3:GOV:28:28;1;3
426;2015;1;2015:1:SCO:SCO3:GOV:38:38;1;1
427;2015;1;2015:1:SCO:SCO3:GOV:4:4;1;1
428;2015;1;2015:1:SCO:SCO3:GOV:5:5;1;2
429;2015;1;2015:1:SCO:SCO3:GOV:53:53;1;11
430;2015;1;2015:1:SCO:SCO3:GOV:54:54;1;15
431;2015;1;2015:1:SCO:SCO3:GOV:56:56;1;9
432;2015;1;2015:1:SCO:SCO3:GOV:57:57;1;19
433;2015;1;2015:1:SCO:SCO3:GOV:58:58;1;2
434;2015;1;2015:1:SCO:SCO3:GOV:59:59;1;1
435;2015;1;2015:1:SCO:SCO3:GOV:60:60;1;12
436;2015;1;2015:1:SCO:SCO3:GOV:7:7;1;5
437;2015;1;2015:1:SCO:SCO3:GOV:8:8;1;2
438;2015;1;2015:1:SCO:SCO3:GOV:9:9;1;1
439;2015;1;2015:1:SWE:DANS:GOV:101:27;1;6
440;2015;1;2015:1:SWE:DANS:GOV:11:3;1;7
441;2015;1;2015:1:SWE:DANS:GOV:114:28;1;4
442;2015;1;2015:1:SWE:DANS:GOV:116:29;1;2
443;2015;1;2015:1:SWE:DANS:GOV:117:30;1;4
444;2015;1;2015:1:SWE:DANS:GOV:119:31;1;6
445;2015;1;2015:1:SWE:DANS:GOV:130:32;1;1
446;2015;1;2015:1:SWE:DANS:GOV:131:33;1;4
447;2015;1;2015:1:SWE:DANS:GOV:133:34;1;1
448;2015;1;2015:1:SWE:DANS:GOV:144:35;1;1
449;2015;1;2015:1:SWE:DANS:GOV:147:37;1;10
450;2015;1;2015:1:SWE:DANS:GOV:149:38;1;6
451;2015;1;2015:1:SWE:DANS:GOV:158:39;1;3
452;2015;1;2015:1:SWE:DANS:GOV:159:40;1;3
453;2015;1;2015:1:SWE:DANS:GOV:162:41;1;4
454;2015;1;2015:1:SWE:DANS:GOV:164:42;1;3
455;2015;1;2015:1:SWE:DANS:GOV:175:45;1;2
456;2015;1;2015:1:SWE:DANS:GOV:22:5;1;2
457;2015;1;2015:1:SWE:DANS:GOV:23:6;1;5
458;2015;1;2015:1:SWE:DANS:GOV:24:7;1;12
459;2015;1;2015:1:SWE:DANS:GOV:25:8;1;1
460;2015;1;2015:1:SWE:DANS:GOV:37:9;1;9
461;2015;1;2015:1:SWE:DANS:GOV:39:10;1;8
462;2015;1;2015:1:SWE:DANS:GOV:40:11;1;10
463;2015;1;2015:1:SWE:DANS:GOV:41:12;1;10
464;2015;1;2015:1:SWE:DANS:GOV:52:13;1;2
465;2015;1;2015:1:SWE:DANS:GOV:54:14;1;11
466;2015;1;2015:1:SWE:DANS:GOV:55:15;1;1
467;2015;1;2015:1:SWE:DANS:GOV:57:16;1;2
468;2015;1;2015:1:SWE:DANS:GOV:67:17;1;1
469;2015;1;2015:1:SWE:DANS:GOV:68:18;1;7
470;2015;1;2015:1:SWE:DANS:GOV:70:19;1;2
471;2015;1;2015:1:SWE:DANS:GOV:71:20;1;3
472;2015;1;2015:1:SWE:DANS:GOV:72:21;1;1
473;2015;1;2015:1:SWE:DANS:GOV:86:23;1;1
474;2015;1;2015:1:SWE:DANS:GOV:96:24;1;8
475;2015;1;2015:1:SWE:DANS:GOV:98:25;1;4
476;2015;1;2015:1:SWE:DANS:GOV:99:26;1;6
477;2016;1;2016:1:DEN:DAN2:GOV:150:35;1;5
478;2016;1;2016:1:DEN:DAN2:GOV:153:37;1;1
479;2016;1;2016:1:DEN:DAN2:GOV:155:38;1;1
480;2016;1;2016:1:DEN:DAN2:GOV:17:5;1;1
481;2016;1;2016:1:DEN:DAN2:GOV:19:6;1;1
482;2016;1;2016:1:DEN:DAN2:GOV:29:7;1;2
483;2016;1;2016:1:DEN:DAN2:GOV:32:9;1;1
484;2016;1;2016:1:DEN:DAN2:GOV:5:3;1;1
485;2016;1;2016:1:FRA:THA2:GOV:U0046:21;1;2
486;2016;1;2016:1:FRA:THA2:GOV:U0066:31;1;2
487;2016;1;2016:1:FRA:THA2:GOV:U0098:48;1;4
488;2016;1;2016:1:GFR:WAH3:GOV:183:32;1;1
489;2016;1;2016:1:GFR:WAH3:GOV:204:37;1;3
490;2016;1;2016:1:GFR:WAH3:GOV:231:48;1;9
491;2016;1;2016:1:GFR:WAH3:GOV:88:1;1;1
492;2016;1;2016:1:NED:ENDN:GOV:34F138:38;1;1
493;2016;1;2016:1:NED:ENDN:GOV:34F347:47;1;1
494;2016;1;2016:1:NED:ENDN:GOV:36F603:3;1;1
495;2016;1;2016:1:NED:ENDN:GOV:36F704:4;1;1
496;2016;1;2016:1:NED:ENDN:GOV:40F316:16;1;1
497;2016;1;2016:1:NED:ENDN:GOV:41E726:26;1;8
498;2016;1;2016:1:NED:ENDN:GOV:41E825:25;1;3
499;2016;1;2016:1:NED:ENDN:GOV:41F218:18;1;1
500;2016;1;2016:1:NED:ENDN:GOV:42E727:27;1;3
501;2016;1;2016:1:NED:ENDN:GOV:42E824:24;1;2
502;2016;1;2016:1:NED:ENDN:GOV:42E930:30;1;1
503;2016;1;2016:1:NED:ENDN:GOV:43E828:28;1;2
504;2016;1;2016:1:NED:ENDN:GOV:43E929:29;1;1
505;2016;1;2016:1:NOR:58G2:GOV:60013:13;1;4
506;2016;1;2016:1:NOR:58G2:GOV:60015:15;1;1
507;2016;1;2016:1:NOR:58G2:GOV:60017:17;1;3
508;2016;1;2016:1:NOR:58G2:GOV:60047:47;1;1
509;2016;1;2016:1:SCO:SCO3:GOV:12:12;1;13
510;2016;1;2016:1:SCO:SCO3:GOV:13:13;1;7
511;2016;1;2016:1:SCO:SCO3:GOV:15:15;1;1
512;2016;1;2016:1:SCO:SCO3:GOV:16:16;1;1
